id;is_misinfo;Texts
1,38715E+18;1;Former-Pfizer VP Yeadon: 'I don’t think you could come up with a better plan' for depopulation than the pandemic and vaccines https://t.co/GfXRPzDJVd
1,3739E+18;1;"#justsayno mass experimental gene therapy, aka, ""vaccine""..."
1,36024E+18;0;So every CVS, Walgreens, WalMart...in Texas is fully booked for the vaccine. Today is the first day available??
1,34223E+18;0;if you don’t wash your rice, don’t worry about what’s in the vaccine
1,38738E+18;0;"Can Unmask at at small outdoor gathering if fully vaccinated #FoundOnPixstory

https://t.co/lLyUX4EHYv @CDCgov @WHO @AstraZeneca @CNN #IndiaNeedsOxygen #VaccinesWork"
1,39045E+18;0;So my whole body aches from my vaccine yesterday. But it's better than the alternative.
1,34669E+18;0;If you eat Taco Bell you have absolutely and I mean ABSOLUTELY no reason to worry about what’s in the vaccine
1,34621E+18;0;Yay for science and scientific research<U+0001F389><U+0001F38A>!! What a start to 2021....Just got my Pfizer vaccine (1st dose).#PfizerVaccine
1,38711E+18;0;"Two weeks out since 2nd vaccine dose and lovin’ it 

<U+270C><U+FE0F><U+2764><U+FE0F> <U+0001F489> 
#COVIDVaccination 
#GetVaccinated"
1,38692E+18;1;"Brave Dr. Larry Palevsky Exposes The Entire #Covid19 Fraud'This Is Not A Vaccine, This is NOT A Vaccine'...
'The Synthetic Spike Protein is a BioWeapon'
...And Can Attach To Receptors All Over The Body
https://t.co/rejnIgwXHb"
1,34223E+18;0;If you don’t use a lota, don’t worry about what’s in the vaccine.
1,38709E+18;0;Just gonna throw this up again. Share your vaccine story. Post a photo or video. You never know who’s listening. #GetVaccinated https://t.co/JYhsih7hHf
1,34221E+18;0;If you’ve sat on ANY character department green room sofa you don’t need to worry about what’s in the vaccine.
1,37384E+18;0;vaccine science is really cool and interesting
1,37373E+18;0;Got my first Moderna shot this afternoon! So far so good! https://t.co/u8xQ8ksC1s
1,35972E+18;1;Experimental COVID Vaccines: Mounting Deaths Reported in Media. How many will die from #Pfizer #Moderna shots? @AdrianDix @jjhorgan https://t.co/FQ60v3te6K
1,38706E+18;0;"Very happy to have received the @pfizer COVID-19 vaccine today.  Thank you Ontario!
#GetVaccinated #ThankYou https://t.co/nV8A429aeB"
1,34654E+18;0;Got my second dose for the Pfizer vaccine. Feelin good.
1,34222E+18;0;If you say axed or peekza or hot chips you don’t need to worry about what’s in the vaccine
1,34689E+18;0;First dose of the Pfizer Covid-19 vaccine. #barnsleyhospital https://t.co/2s1O7l4tVG
1,34697E+18;1;"Severe allergic reactions to @pfizer's coronavirus vaccine are ‘rare’: @CDCgov 

Report by @latimeshealth @latimes #COVID19 

https://t.co/2srBSF5rS1"
1,37413E+18;0;"Just had to have a conversation with my Dad to encourage him to take his vaccine advice from his doctor and not the Toronto Sun.

Irresponsible vaccine coverage has unquestionably created vaccine hesitancy with conservative men.

Thankfully he promises me he'll trust his doctor."
1,36109E+18;0;Georgia eclipses 1 million vaccines delivered within two months of the first inoculations. https://t.co/0XGgONRrgV
1,36035E+18;0;just got my first dose of the vaccine <U+0001F489>
1,37294E+18;0;More than 4 in 10 healthcare workers have not been #vaccinated, @washingtonpost @KFF poll finds https://t.co/Dl9sTjFPqJ https://t.co/Jew1ehG5HZ
1,3449E+18;1;it makes my brain itch when ppl say they're not taking the covid vaccine bc they're scared of the long term effects (since we don't know much abt it) bc i guarantee side effects will be much much more serious and damaging, if the vaccine even has any dangerous side effects
1,36036E+18;0;Got my first Moderna vaccine injection today, FR. No siude efeeffts yerettt
1,38598E+18;1;CHINA AND BILL GATES AND YOUR ILLUMINATI GROUPS KEEP YOUR HINDEN ANGENDA ABOUT CORONA VIRUS VACCINE TO YOURSELF WE AFRICAN WE ARE NOT  PART OF YOUR CONTINENTS LEAVE US ALSO, IF IS ABOUT DEPOPULATION LET NATURE TAKE ITS COURSE YOU ARE DANGER TO HUMAN RACE.
1,3603E+18;0;MY GRANDPARENTS GOT THEIR SECOND DOSE OF THE COVID VACCINE!!! So excited for them!!! And so glad they will be able to get hugs again without us all worrying that we will get them sick! #getvaccinated #protectothers #protectgrandparents #wearamask https://t.co/xGxNaRpEYH
1,37325E+18;0;"Got my first shot of #CovidVaccine at @HospitalsApollo
#Covishield of @SerumInstIndia @adarpoonawalla #gratitude to all who worked towards making the #vaccine Let us join hands &amp; #GetVaccinated We have to defeat #COVID 
#Covaxin @BharatBiotech @MoHFW_INDIA #vaccinated https://t.co/312VpJlvxv"
1,39045E+18;0;Got the vaccine, and it felt GREAT! <U+0001F60C>
1,34666E+18;1;Just for the record... I’m not being forced to take this vaccine. My job... is pushing the agenda. My boss is pissed at me bc I refuse to take it. She says I’m putting our seniors at risk. REALLY?!?  I’m pretty sure government did that creating a bioweapon.
1,34659E+18;0;<U+0001F9A0><U+0001F489> I got my first dose of the Pfizer COVID vaccine today! #IGotTheShot #VaccinesWork #FauciOuchi https://t.co/HP3YJ3Vff6
1,37409E+18;0;Got #vaccinated Never have I been thankful to get a shot in the arm. #Tampa #Pfizer #1down1togo https://t.co/wDhWGLJk4n
1,34659E+18;0;I’m getting my first COVID vaccine tomorrow and I am so excited I could cry
1,34471E+18;0;In other news, I’m excited to get the vaccine. If it means protecting my kids and loved ones, I’m here for it!!! <U+0001F91E><U+0001F3FD>
1,34463E+18;0;"Found out my little sister got her first round of the vaccine yesterday, she was so excited. 

I am so worried.

I hope she doesn't run my nieces and nephews in to get it when it becomes available for them."
1,36007E+18;0;My parents are finally getting the vaccine tomorrow!! <U+0001F489><U+0001F9A0>  Not an easy accomplishment here in South Carolina!
1,38757E+18;0;Day 2 after second #Pfizer shot, and I have slightly swollen lymph nodes under my left arm, which is where I got the shot. Feels like a small baseball under my arm. #vaccinated
1,37297E+18;0;First dose of Pfizer in my arm. <U+0001F4AA><U+0001F3FC><U+0001F489> Thank you @OHSUNews @fema @flypdx @RedCross And all the volunteers. Amazing set up! https://t.co/quqW85rZOl
1,34617E+18;0;Just got the vaccine <U+0001F617><U+0001F44C> https://t.co/0zTrROPPu9
1,38639E+18;1;The report itself ends with this warning: “The vaccine could be a bioweapon and even more dangerous than the original infection.” https://t.co/ZWVBcdeVrs
1,34437E+18;0;"My grandparents, the two people that basically raised me, got the vaccine yesterday and couldn’t have been more excited.

On a personal note, I’m so damn excited for them, they literally haven’t left their house since February except to see doctors.  Crazy."
1,38717E+18;0;"If you’re wondering if the COVID-19 vaccine may trigger allergic reactions, don’t worry, Dr. Gustavo Del Toro is here to answer your questions. 

Get vaccinated NY! <U+2665><U+FE0F>
#COVID19 #GetVaccinated #AllergicReactions https://t.co/bf4ZapviVT"
1,34202E+18;1;you know a person is braindead when it's scared shit by a 99,9% survival rate virus but doesn't have a problem to be Guinea pig for an untested, experimental, never tested on humans vaccine.
1,34656E+18;0;Wow that vaccine knocked me out for a couple days, but I'm back and I got my first vaccine of the series
1,39028E+18;0;Very grateful to have been able to book my covid vaccine this morning. Thank you @ONgov for the smooth process!
